Symbol,Security,Sector,Sub-Industry,Date first added
OXT,OXTUSDT,Cryptocurrency,Digital Asset,2024-09-01
SUN,SUNUSDT,Cryptocurrency,Digital Asset,2024-09-01
AVAX,AVAXUSDT,Cryptocurrency,Digital Asset,2024-09-01
HNT,HNTUSDT,Cryptocurrency,Digital Asset,2022-10-01
FLM,FLMUSDT,Cryptocurrency,Digital Asset,2024-09-01
UNIUP,UNIUPUSDT,Cryptocurrency,Digital Asset,2021-12-01
UNIDOWN,UNIDOWNUSDT,Cryptocurrency,Digital Asset,2021-12-01
ORN,ORNUSDT,Cryptocurrency,Digital Asset,2024-09-01
UTK,UTKUSDT,Cryptocurrency,Digital Asset,2024-09-01
XVS,XVSUSDT,Cryptocurrency,Digital Asset,2024-09-01
ALPHA,ALPHAUSDT,Cryptocurrency,Digital Asset,2024-09-01
AAVE,AAVEUSDT,Cryptocurrency,Digital Asset,2024-09-01
NEAR,NEARUSDT,Cryptocurrency,Digital Asset,2024-09-01
SXPUP,SXPUPUSDT,Cryptocurrency,Digital Asset,2021-11-01
SXPDOWN,SXPDOWNUSDT,Cryptocurrency,Digital Asset,2021-11-01
FIL,FILUSDT,Cryptocurrency,Digital Asset,2024-09-01
FILUP,FILUPUSDT,Cryptocurrency,Digital Asset,2022-01-01
FILDOWN,FILDOWNUSDT,Cryptocurrency,Digital Asset,2022-01-01
YFIUP,YFIUPUSDT,Cryptocurrency,Digital Asset,2021-12-01
YFIDOWN,YFIDOWNUSDT,Cryptocurrency,Digital Asset,2021-12-01
INJ,INJUSDT,Cryptocurrency,Digital Asset,2024-09-01
AUDIO,AUDIOUSDT,Cryptocurrency,Digital Asset,2024-09-01
CTK,CTKUSDT,Cryptocurrency,Digital Asset,2024-09-01
BCHUP,BCHUPUSDT,Cryptocurrency,Digital Asset,2022-01-01
BCHDOWN,BCHDOWNUSDT,Cryptocurrency,Digital Asset,2022-01-01
AKRO,AKROUSDT,Cryptocurrency,Digital Asset,2024-09-01
AXS,AXSUSDT,Cryptocurrency,Digital Asset,2024-09-01
HARD,HARDUSDT,Cryptocurrency,Digital Asset,2024-09-01
DNT,DNTUSDT,Cryptocurrency,Digital Asset,2022-10-01
STRAX,STRAXUSDT,Cryptocurrency,Digital Asset,2024-09-01
