Symbol,Security,Sector,Sub-Industry,Date first added
APE,APEUSDT,Cryptocurrency,Digital Asset,2024-09-01
BTC3S,BTC3SUSDT,Cryptocurrency,Digital Asset,2024-09-01
BTC3L,BTC3LUSDT,Cryptocurrency,Digital Asset,2024-09-01
FIDA,FIDAUSDT,Cryptocurrency,Digital Asset,2024-09-01
MINA,MINAUSDT,Cryptocurrency,Digital Asset,2024-09-01
SC,SCUSDT,Cryptocurrency,Digital Asset,2024-09-01
RACA,RACAUSDT,Cryptocurrency,Digital Asset,2024-09-01
CAPS,CAPSUSDT,Cryptocurrency,Digital Asset,2024-09-01
STG,STGUSDT,Cryptocurrency,Digital Asset,2024-09-01
GLMR,GLMRUSDT,Cryptocurrency,Digital Asset,2024-09-01
MOVR,MOVRUSDT,Cryptocurrency,Digital Asset,2024-09-01
ZAM,ZAMUSDT,Cryptocurrency,Digital Asset,2024-09-01
WBTC,WBTCUSDT,Cryptocurrency,Digital Asset,2024-09-01
XAVA,XAVAUSDT,Cryptocurrency,Digital Asset,2024-09-01
MELOS,MELOSUSDT,Cryptocurrency,Digital Asset,2024-09-01
GMT,GMTUSDT,Cryptocurrency,Digital Asset,2024-09-01
GST,GSTUSDT,Cryptocurrency,Digital Asset,2024-09-01
CELO,CELOUSDT,Cryptocurrency,Digital Asset,2024-09-01
SFUND,SFUNDUSDT,Cryptocurrency,Digital Asset,2024-09-01
LGX,LGXUSDT,Cryptocurrency,Digital Asset,2024-09-01
APEX,APEXUSDT,Cryptocurrency,Digital Asset,2024-09-01
CTC,CTCUSDT,Cryptocurrency,Digital Asset,2024-09-01
COT,COTUSDT,Cryptocurrency,Digital Asset,2024-09-01
KMON,KMONUSDT,Cryptocurrency,Digital Asset,2024-09-01
FITFI,FITFIUSDT,Cryptocurrency,Digital Asset,2024-09-01
STRM,STRMUSDT,Cryptocurrency,Digital Asset,2024-09-01
ETH3S,ETH3SUSDT,Cryptocurrency,Digital Asset,2024-09-01
ETH3L,ETH3LUSDT,Cryptocurrency,Digital Asset,2024-09-01
KOK,KOKUSDT,Cryptocurrency,Digital Asset,2024-09-01
FAME,FAMEUSDT,Cryptocurrency,Digital Asset,2024-09-01
USDD,USDDUSDT,Cryptocurrency,Digital Asset,2024-09-01
OP,OPUSDT,Cryptocurrency,Digital Asset,2024-09-01
LUNA,LUNAUSDT,Cryptocurrency,Digital Asset,2024-09-01
DFI,DFIUSDT,Cryptocurrency,Digital Asset,2024-09-01
THN,THNUSDT,Cryptocurrency,Digital Asset,2024-09-01
VINU,VINUUSDT,Cryptocurrency,Digital Asset,2024-09-01
BEL,BELUSDT,Cryptocurrency,Digital Asset,2024-09-01
FORT,FORTUSDT,Cryptocurrency,Digital Asset,2024-09-01
WLKN,WLKNUSDT,Cryptocurrency,Digital Asset,2024-09-01
KON,KONUSDT,Cryptocurrency,Digital Asset,2024-09-01
OBX,OBXUSDT,Cryptocurrency,Digital Asset,2024-09-01
SEOR,SEORUSDT,Cryptocurrency,Digital Asset,2024-09-01
CUSD,CUSDUSDT,Cryptocurrency,Digital Asset,2024-09-01
GSTS,GSTSUSDT,Cryptocurrency,Digital Asset,2024-09-01
XETA,XETAUSDT,Cryptocurrency,Digital Asset,2024-09-01
AZY,AZYUSDT,Cryptocurrency,Digital Asset,2024-09-01
FLOKI,FLOKIUSDT,Cryptocurrency,Digital Asset,2024-09-01
BABYDOGE,BABYDOGEUSDT,Cryptocurrency,Digital Asset,2024-09-01
STAT,STATUSDT,Cryptocurrency,Digital Asset,2024-09-01
DICE,DICEUSDT,Cryptocurrency,Digital Asset,2024-09-01
WAXP,WAXPUSDT,Cryptocurrency,Digital Asset,2024-09-01
AR,ARUSDT,Cryptocurrency,Digital Asset,2024-09-01
KDA,KDAUSDT,Cryptocurrency,Digital Asset,2024-09-01
ROSE,ROSEUSDT,Cryptocurrency,Digital Asset,2024-09-01
PSG,PSGUSDT,Cryptocurrency,Digital Asset,2024-09-01
JUV,JUVUSDT,Cryptocurrency,Digital Asset,2024-09-01
INTER,INTERUSDT,Cryptocurrency,Digital Asset,2024-09-01
AFC,AFCUSDT,Cryptocurrency,Digital Asset,2024-09-01
CITY,CITYUSDT,Cryptocurrency,Digital Asset,2024-09-01
SOLO,SOLOUSDT,Cryptocurrency,Digital Asset,2024-09-01
CHRP,CHRPUSDT,Cryptocurrency,Digital Asset,2024-09-01
WWY,WWYUSDT,Cryptocurrency,Digital Asset,2024-09-01
SWEAT,SWEATUSDT,Cryptocurrency,Digital Asset,2024-09-01
DLC,DLCUSDT,Cryptocurrency,Digital Asset,2024-09-01
ETHW,ETHWUSDT,Cryptocurrency,Digital Asset,2024-09-01
INJ,INJUSDT,Cryptocurrency,Digital Asset,2024-09-01
MPLX,MPLXUSDT,Cryptocurrency,Digital Asset,2024-09-01
CO,COUSDT,Cryptocurrency,Digital Asset,2024-09-01
AGLA,AGLAUSDT,Cryptocurrency,Digital Asset,2024-09-01
ROND,RONDUSDT,Cryptocurrency,Digital Asset,2024-09-01
QMALL,QMALLUSDT,Cryptocurrency,Digital Asset,2024-09-01
PUMLX,PUMLXUSDT,Cryptocurrency,Digital Asset,2024-09-01
GCAKE,GCAKEUSDT,Cryptocurrency,Digital Asset,2024-09-01
APT,APTUSDT,Cryptocurrency,Digital Asset,2024-09-01
MCRT,MCRTUSDT,Cryptocurrency,Digital Asset,2024-09-01
MASK,MASKUSDT,Cryptocurrency,Digital Asset,2024-09-01
ECOX,ECOXUSDT,Cryptocurrency,Digital Asset,2024-09-01
HFT,HFTUSDT,Cryptocurrency,Digital Asset,2024-09-01
KCAL,KCALUSDT,Cryptocurrency,Digital Asset,2024-09-01
PEOPLE,PEOPLEUSDT,Cryptocurrency,Digital Asset,2024-09-01
TWT,TWTUSDT,Cryptocurrency,Digital Asset,2024-09-01
ORT,ORTUSDT,Cryptocurrency,Digital Asset,2024-09-01
HOOK,HOOKUSDT,Cryptocurrency,Digital Asset,2024-09-01
PRIMAL,PRIMALUSDT,Cryptocurrency,Digital Asset,2024-09-01
OAS,OASUSDT,Cryptocurrency,Digital Asset,2024-09-01
MAGIC,MAGICUSDT,Cryptocurrency,Digital Asset,2024-09-01
MEE,MEEUSDT,Cryptocurrency,Digital Asset,2024-09-01
TON,TONUSDT,Cryptocurrency,Digital Asset,2024-09-01
BONK,BONKUSDT,Cryptocurrency,Digital Asset,2024-09-01
FLR,FLRUSDT,Cryptocurrency,Digital Asset,2024-09-01
TIME,TIMEUSDT,Cryptocurrency,Digital Asset,2024-09-01
3P,3PUSDT,Cryptocurrency,Digital Asset,2024-09-01
RPL,RPLUSDT,Cryptocurrency,Digital Asset,2024-09-01
SSV,SSVUSDT,Cryptocurrency,Digital Asset,2024-09-01
FXS,FXSUSDT,Cryptocurrency,Digital Asset,2024-09-01
CORE,COREUSDT,Cryptocurrency,Digital Asset,2024-09-01
RDNT,RDNTUSDT,Cryptocurrency,Digital Asset,2024-09-01
BLUR,BLURUSDT,Cryptocurrency,Digital Asset,2024-09-01
LIS,LISUSDT,Cryptocurrency,Digital Asset,2024-09-01
MDAO,MDAOUSDT,Cryptocurrency,Digital Asset,2024-09-01
ACS,ACSUSDT,Cryptocurrency,Digital Asset,2024-09-01
HVH,HVHUSDT,Cryptocurrency,Digital Asset,2024-09-01
GNS,GNSUSDT,Cryptocurrency,Digital Asset,2024-09-01
DPX,DPXUSDT,Cryptocurrency,Digital Asset,2024-09-01
PIP,PIPUSDT,Cryptocurrency,Digital Asset,2024-09-01
PRIME,PRIMEUSDT,Cryptocurrency,Digital Asset,2024-09-01
EVER,EVERUSDT,Cryptocurrency,Digital Asset,2024-09-01
VRA,VRAUSDT,Cryptocurrency,Digital Asset,2024-09-01
FB,FBUSDT,Cryptocurrency,Digital Asset,2024-09-01
DZOO,DZOOUSDT,Cryptocurrency,Digital Asset,2024-09-01
ID,IDUSDT,Cryptocurrency,Digital Asset,2024-09-01
ARB,ARBUSDT,Cryptocurrency,Digital Asset,2024-09-01
XCAD,XCADUSDT,Cryptocurrency,Digital Asset,2024-09-01
MBX,MBXUSDT,Cryptocurrency,Digital Asset,2024-09-01
AXL,AXLUSDT,Cryptocurrency,Digital Asset,2024-09-01
CGPT,CGPTUSDT,Cryptocurrency,Digital Asset,2024-09-01
AGI,AGIUSDT,Cryptocurrency,Digital Asset,2024-09-01
SUI,SUIUSDT,Cryptocurrency,Digital Asset,2024-09-01
TAMA,TAMAUSDT,Cryptocurrency,Digital Asset,2024-09-01
MVL,MVLUSDT,Cryptocurrency,Digital Asset,2024-09-01
PEPE,PEPEUSDT,Cryptocurrency,Digital Asset,2024-09-01
LADYS,LADYSUSDT,Cryptocurrency,Digital Asset,2024-09-01
LMWR,LMWRUSDT,Cryptocurrency,Digital Asset,2024-09-01
BOB,BOBUSDT,Cryptocurrency,Digital Asset,2024-09-01
TOMI,TOMIUSDT,Cryptocurrency,Digital Asset,2024-09-01
KARATE,KARATEUSDT,Cryptocurrency,Digital Asset,2024-09-01
TURBOS,TURBOSUSDT,Cryptocurrency,Digital Asset,2024-09-01
